semana,raca,producao_kg
1,Holandesa,10.0
2,Holandesa,15.0
3,Holandesa,20.0
4,Holandesa,25.0
5,Holandesa,28.0
6,Holandesa,30.0
7,Holandesa,36.0
8,Holandesa,40.0
9,Holandesa,42.0
10,Holandesa,44.0
11,Holandesa,45.0
12,Holandesa,46.0
13,Holandesa,45.0
14,Holandesa,44.5
15,Holandesa,43.5
16,Holandesa,43.0
17,Holandesa,42.0
18,Holandesa,41.0
19,Holandesa,40.0
20,Holandesa,39.0
21,Holandesa,38.0
22,Holandesa,37.0
23,Holandesa,36.0
24,Holandesa,34.9
25,Holandesa,33.8
26,Holandesa,32.7
27,Holandesa,31.6
28,Holandesa,30.5
29,Holandesa,29.4
30,Holandesa,28.3
31,Holandesa,27.2
32,Holandesa,26.1
33,Holandesa,25.0
34,Holandesa,23.9
35,Holandesa,22.8
36,Holandesa,21.7
37,Holandesa,20.6
38,Holandesa,19.5
39,Holandesa,18.4
40,Holandesa,17.3
41,Holandesa,16.2
42,Holandesa,15.1
43,Holandesa,14.0
44,Holandesa,12.9
1,Jersey,8.0
2,Jersey,12.0
3,Jersey,16.0
4,Jersey,20.0
5,Jersey,22.4
6,Jersey,24.0
7,Jersey,28.8
8,Jersey,32.0
9,Jersey,33.6
10,Jersey,35.2
11,Jersey,36.0
12,Jersey,36.8
13,Jersey,36.0
14,Jersey,35.6
15,Jersey,34.8
16,Jersey,34.4
17,Jersey,33.6
18,Jersey,32.8
19,Jersey,32.0
20,Jersey,31.2
21,Jersey,30.4
22,Jersey,29.6
23,Jersey,28.8
24,Jersey,27.92
25,Jersey,27.04
26,Jersey,26.16
27,Jersey,25.28
28,Jersey,24.4
29,Jersey,23.52
30,Jersey,22.64
31,Jersey,21.76
32,Jersey,20.88
33,Jersey,20.0
34,Jersey,19.12
35,Jersey,18.24
36,Jersey,17.36
37,Jersey,16.48
38,Jersey,15.6
39,Jersey,14.72
40,Jersey,13.84
41,Jersey,12.96
42,Jersey,12.08
43,Jersey,11.2
44,Jersey,10.32
1,Gir,6.4
2,Gir,9.6
3,Gir,12.8
4,Gir,16.0
5,Gir,17.92
6,Gir,19.2
7,Gir,23.04
8,Gir,25.6
9,Gir,26.88
10,Gir,28.16
11,Gir,28.8
12,Gir,29.44
13,Gir,28.8
14,Gir,28.48
15,Gir,27.84
16,Gir,27.52
17,Gir,26.88
18,Gir,26.24
19,Gir,25.6
20,Gir,24.96
21,Gir,24.32
22,Gir,23.68
23,Gir,23.04
24,Gir,22.34
25,Gir,21.63
26,Gir,20.93
27,Gir,20.22
28,Gir,18.72
29,Gir,17.22
30,Gir,15.72
31,Gir,14.22
32,Gir,12.72
33,Gir,11.22
34,Gir,9.72
35,Gir,8.22
36,Gir,6.72
37,Gir,5.22
38,Gir,0.0
39,Gir,0.0
40,Gir,0.0
41,Gir,0.0
42,Gir,0.0
43,Gir,0.0
44,Gir,0.0
