semana,raca,producao_kg
1,Holandesa,10.0
2,Holandesa,15.0
3,Holandesa,20.0
4,Holandesa,25.0
5,Holandesa,28.0
6,Holandesa,30.0
7,Holandesa,36.0
8,Holandesa,40.0
9,Holandesa,42.0
10,Holandesa,44.0
11,Holandesa,45.0
12,Holandesa,46.0
13,Holandesa,45.0
14,Holandesa,44.5
15,Holandesa,43.5
16,Holandesa,43.0
17,Holandesa,42.0
18,Holandesa,41.0
19,Holandesa,40.0
20,Holandesa,39.0
21,Holandesa,38.0
22,Holandesa,37.0
23,Holandesa,36.0
24,Holandesa,34.9
25,Holandesa,33.8
26,Holandesa,32.7
27,Holandesa,31.6
28,Holandesa,30.5
29,Holandesa,29.4
30,Holandesa,28.3
31,Holandesa,27.2
32,Holandesa,26.1
33,Holandesa,25.0
34,Holandesa,23.9
35,Holandesa,22.8
36,Holandesa,21.7
37,Holandesa,20.6
38,Holandesa,19.5
39,Holandesa,18.4
40,Holandesa,17.3
41,Holandesa,16.2
42,Holandesa,15.1
43,Holandesa,14.0
44,Holandesa,12.9
1,Jersey,8.0
2,Jersey,12.0
3,Jersey,16.0
4,Jersey,20.0
5,Jersey,22.4
6,Jersey,24.0
7,Jersey,28.8
8,Jersey,32.0
9,Jersey,33.6
10,Jersey,35.2
11,Jersey,36.0
12,Jersey,36.8
13,Jersey,36.0
14,Jersey,35.6
15,Jersey,34.8
16,Jersey,34.4
17,Jersey,33.6
18,Jersey,32.8
19,Jersey,32.0
20,Jersey,31.2
21,Jersey,30.4
22,Jersey,29.6
23,Jersey,28.8
24,Jersey,27.92
25,Jersey,27.04
26,Jersey,26.16
27,Jersey,25.28
28,Jersey,24.4
29,Jersey,23.52
30,Jersey,22.64
31,Jersey,21.76
32,Jersey,20.88
33,Jersey,20.0
34,Jersey,19.12
35,Jersey,18.24
36,Jersey,17.36
37,Jersey,16.48
38,Jersey,15.6
39,Jersey,14.72
40,Jersey,13.84
41,Jersey,12.96
42,Jersey,12.08
43,Jersey,11.2
44,Jersey,10.32
1,Gir,6.4
2,Gir,9.6
3,Gir,12.8
4,Gir,16.0
5,Gir,17.92
6,Gir,19.2
7,Gir,23.04
8,Gir,25.6
9,Gir,26.88
10,Gir,28.16
11,Gir,28.8
12,Gir,29.44
13,Gir,28.8
14,Gir,28.48
15,Gir,27.84
16,Gir,27.52
17,Gir,26.88
18,Gir,26.24
19,Gir,25.6
20,Gir,24.96
21,Gir,24.32
22,Gir,23.68
23,Gir,23.04
24,Gir,22.34
25,Gir,21.63
26,Gir,20.93
27,Gir,20.22
28,Gir,18.72
29,Gir,17.22
30,Gir,15.72
31,Gir,14.22
32,Gir,12.72
33,Gir,11.22
34,Gir,9.72
35,Gir,8.22
36,Gir,6.72
37,Gir,5.22
38,Gir,0.0
39,Gir,0.0
40,Gir,0.0
41,Gir,0.0
42,Gir,0.0
43,Gir,0.0
44,Gir,0.0
1,Holandesa,8.49
2,Holandesa,11.89
3,Holandesa,16.64
4,Holandesa,23.3
5,Holandesa,26.73
6,Holandesa,28.76
7,Holandesa,37.43
8,Holandesa,39.02
9,Holandesa,43.46
10,Holandesa,44.68
11,Holandesa,44.77
12,Holandesa,44.6
13,Holandesa,43.58
14,Holandesa,45.62
15,Holandesa,45.73
16,Holandesa,40.9
17,Holandesa,41.71
18,Holandesa,41.38
19,Holandesa,37.58
20,Holandesa,40.95
21,Holandesa,38.79
22,Holandesa,34.51
23,Holandesa,35.23
24,Holandesa,33.2
25,Holandesa,34.41
26,Holandesa,31.9
27,Holandesa,30.96
28,Holandesa,30.84
29,Holandesa,31.5
30,Holandesa,30.01
31,Holandesa,26.29
32,Holandesa,24.54
33,Holandesa,24.6
34,Holandesa,22.36
35,Holandesa,22.18
36,Holandesa,20.67
37,Holandesa,20.52
38,Holandesa,20.56
39,Holandesa,20.39
40,Holandesa,18.72
41,Holandesa,18.63
42,Holandesa,15.92
43,Holandesa,15.18
44,Holandesa,13.83
1,Jersey,6.01
2,Jersey,8.42
3,Jersey,11.78
4,Jersey,16.49
5,Jersey,20.02
6,Jersey,24.55
7,Jersey,29.91
8,Jersey,33.53
9,Jersey,33.12
10,Jersey,36.45
11,Jersey,34.27
12,Jersey,37.22
13,Jersey,34.56
14,Jersey,36.56
15,Jersey,35.31
16,Jersey,33.11
17,Jersey,32.22
18,Jersey,33.81
19,Jersey,30.61
20,Jersey,29.54
21,Jersey,31.53
22,Jersey,31.14
23,Jersey,27.01
24,Jersey,27.44
25,Jersey,27.79
26,Jersey,25.17
27,Jersey,26.16
28,Jersey,26.76
29,Jersey,21.37
30,Jersey,23.51
31,Jersey,21.17
32,Jersey,20.35
33,Jersey,20.76
34,Jersey,19.4
35,Jersey,15.9
36,Jersey,16.16
37,Jersey,14.67
38,Jersey,14.7
39,Jersey,16.6
40,Jersey,13.81
41,Jersey,10.51
42,Jersey,10.24
43,Jersey,12.34
44,Jersey,10.61
1,Gir,5.64
2,Gir,7.9
3,Gir,11.06
4,Gir,13.67
5,Gir,17.18
6,Gir,19.29
7,Gir,25.3
8,Gir,23.76
9,Gir,27.38
10,Gir,25.88
11,Gir,27.02
12,Gir,27.58
13,Gir,26.93
14,Gir,28.21
15,Gir,30.25
16,Gir,25.05
17,Gir,26.09
18,Gir,26.69
19,Gir,26.63
20,Gir,23.74
21,Gir,22.05
22,Gir,24.7
23,Gir,24.12
24,Gir,20.91
25,Gir,22.66
26,Gir,20.62
27,Gir,21.97
28,Gir,17.0
29,Gir,18.18
30,Gir,17.33
31,Gir,16.32
32,Gir,12.48
33,Gir,12.08
34,Gir,10.51
35,Gir,9.02
36,Gir,6.37
37,Gir,5.51
38,Gir,0.0
39,Gir,0.0
40,Gir,0.0
41,Gir,0.0
42,Gir,0.0
43,Gir,0.0
44,Gir,0.0
1,Holandesa,10.74
2,Holandesa,15.04
3,Holandesa,20.9
4,Holandesa,23.43
5,Holandesa,25.7
6,Holandesa,28.38
7,Holandesa,33.87
8,Holandesa,37.55
9,Holandesa,43.18
10,Holandesa,42.31
11,Holandesa,47.02
12,Holandesa,45.33
13,Holandesa,44.06
14,Holandesa,42.07
15,Holandesa,45.88
16,Holandesa,42.44
17,Holandesa,43.91
18,Holandesa,40.71
19,Holandesa,38.52
20,Holandesa,39.75
21,Holandesa,37.91
22,Holandesa,36.62
23,Holandesa,33.65
24,Holandesa,35.56
25,Holandesa,33.18
26,Holandesa,32.09
27,Holandesa,32.07
28,Holandesa,32.45
29,Holandesa,30.12
30,Holandesa,26.61
31,Holandesa,26.3
32,Holandesa,25.28
33,Holandesa,26.86
34,Holandesa,26.18
35,Holandesa,23.59
36,Holandesa,19.25
37,Holandesa,18.95
38,Holandesa,18.61
39,Holandesa,20.14
40,Holandesa,15.36
41,Holandesa,17.81
42,Holandesa,13.3
43,Holandesa,12.07
44,Holandesa,10.41
1,Jersey,6.96
2,Jersey,9.75
3,Jersey,13.65
4,Jersey,19.11
5,Jersey,23.6
6,Jersey,25.52
7,Jersey,30.69
8,Jersey,31.02
9,Jersey,32.0
10,Jersey,33.69
11,Jersey,34.64
12,Jersey,38.78
13,Jersey,33.99
14,Jersey,35.78
15,Jersey,35.65
16,Jersey,32.79
17,Jersey,32.53
18,Jersey,34.21
19,Jersey,32.21
20,Jersey,32.66
21,Jersey,31.05
22,Jersey,30.64
23,Jersey,28.7
24,Jersey,30.32
25,Jersey,29.02
26,Jersey,25.88
27,Jersey,23.59
28,Jersey,25.59
29,Jersey,25.93
30,Jersey,21.77
31,Jersey,24.08
32,Jersey,22.05
33,Jersey,18.51
34,Jersey,19.3
35,Jersey,16.79
36,Jersey,14.89
37,Jersey,16.62
38,Jersey,15.39
39,Jersey,13.04
40,Jersey,14.77
41,Jersey,10.74
42,Jersey,14.34
43,Jersey,12.02
44,Jersey,8.7
1,Gir,6.19
2,Gir,8.67
3,Gir,12.14
4,Gir,16.15
5,Gir,19.96
6,Gir,19.73
7,Gir,22.77
8,Gir,26.42
9,Gir,26.64
10,Gir,28.86
11,Gir,28.12
12,Gir,28.05
13,Gir,27.03
14,Gir,28.31
15,Gir,26.73
16,Gir,27.84
17,Gir,29.21
18,Gir,23.76
19,Gir,24.64
20,Gir,22.82
21,Gir,21.93
22,Gir,23.18
23,Gir,24.71
24,Gir,21.22
25,Gir,20.84
26,Gir,18.84
27,Gir,21.28
28,Gir,17.99
29,Gir,18.71
30,Gir,16.12
31,Gir,15.24
32,Gir,11.37
33,Gir,9.75
34,Gir,11.15
35,Gir,6.15
36,Gir,4.84
37,Gir,2.79
38,Gir,0.0
39,Gir,0.0
40,Gir,0.0
41,Gir,0.0
42,Gir,0.0
43,Gir,0.0
44,Gir,0.0
1,Holandesa,11.78
2,Holandesa,12.86
3,Holandesa,18.01
4,Holandesa,23.38
5,Holandesa,26.29
6,Holandesa,32.46
7,Holandesa,35.82
8,Holandesa,39.67
9,Holandesa,39.52
10,Holandesa,44.59
11,Holandesa,47.49
12,Holandesa,48.25
13,Holandesa,46.92
14,Holandesa,43.38
15,Holandesa,45.58
16,Holandesa,44.81
17,Holandesa,44.33
18,Holandesa,41.53
19,Holandesa,40.16
20,Holandesa,36.89
21,Holandesa,40.29
22,Holandesa,35.61
23,Holandesa,37.44
24,Holandesa,33.84
25,Holandesa,34.24
26,Holandesa,32.82
27,Holandesa,30.79
28,Holandesa,29.31
29,Holandesa,30.78
30,Holandesa,26.71
31,Holandesa,29.62
32,Holandesa,25.78
33,Holandesa,26.01
34,Holandesa,21.56
35,Holandesa,24.63
36,Holandesa,20.01
37,Holandesa,22.41
38,Holandesa,21.93
39,Holandesa,20.75
40,Holandesa,18.45
41,Holandesa,16.61
42,Holandesa,15.75
43,Holandesa,13.26
44,Holandesa,11.39
1,Jersey,9.6
2,Jersey,10.64
3,Jersey,14.89
4,Jersey,18.24
5,Jersey,22.53
6,Jersey,23.47
7,Jersey,27.34
8,Jersey,33.56
9,Jersey,36.02
10,Jersey,35.3
11,Jersey,38.32
12,Jersey,37.24
13,Jersey,37.83
14,Jersey,37.65
15,Jersey,32.99
16,Jersey,35.24
17,Jersey,33.27
18,Jersey,34.75
19,Jersey,32.18
20,Jersey,33.39
21,Jersey,30.74
22,Jersey,31.75
23,Jersey,30.48
24,Jersey,26.99
25,Jersey,29.03
26,Jersey,28.32
27,Jersey,27.36
28,Jersey,25.01
29,Jersey,25.24
30,Jersey,24.83
31,Jersey,20.99
32,Jersey,21.95
33,Jersey,19.4
34,Jersey,19.06
35,Jersey,17.44
36,Jersey,19.55
37,Jersey,15.97
38,Jersey,14.67
39,Jersey,16.82
40,Jersey,13.2
41,Jersey,11.37
42,Jersey,13.42
43,Jersey,9.4
44,Jersey,10.93
1,Gir,7.68
2,Gir,10.75
3,Gir,14.07
4,Gir,16.2
5,Gir,17.36
6,Gir,21.25
7,Gir,24.2
8,Gir,23.72
9,Gir,28.81
10,Gir,25.82
11,Gir,30.1
12,Gir,30.77
13,Gir,29.66
14,Gir,27.93
15,Gir,25.99
16,Gir,26.34
17,Gir,25.91
18,Gir,25.99
19,Gir,26.57
20,Gir,27.25
21,Gir,25.35
